"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"40495","7497984798507724737647306122847614","7770000000000115522","Proposed","Unspecified","1013","1685009118304000","1715962329496000"
"40496","62588692260510297858766430791764427550904042","4060741400007923323","Available","Unspecified","","1715965464690000","1715965464803000"
"40497","56148601777428354076351767575763421556969","4060741400335399351","Available","Unspecified","4060741400010084400","1657748739372000","1715967079464000"
"40498","98159974291368687644308590369838314594","4060741400335399351","Booked","Unspecified","4060741400010084401","1652995441805000","1715968089861000"
"40499","79835722791424527708230479694148567702329","4060741400007923316","UnderConsideration","Unspecified","","1715290452390000","1715969340365000"
"40500","60221333706930930954739502924550225473615860","4060741400376314387","UnderConsideration","Unspecified","4060741400334095791","1713181106135000","1715972460908000"
"40501","351301303712123235978285444929782294505","4060741400007923359","Available","Unspecified","","1693567476946000","1715974874435000"
"40502","83692067012231057907299385960504173043933018","4060741400335399351","Proposed","Unspecified","4060741400010084399","1674145590454000","1715976153515000"
"40503","0356302204481434466638699353128084912849681","7770000000002738079","Proposed","Unspecified","4060741400376470170","1713883390326000","1715976900513000"
"40504","83317932694201616822655499121519621283154","4060741400007923322","UnderConsideration","Unspecified","","1715942753570000","1715977516770000"
"40505","5363003053537653255688878259910422","4060741400009046535","UnderConsideration","B1","4000741400001402409","1359547680000000","1715977944642000"
"40506","1476777727870095168360891474396806","4060741400009046535","UnderConsideration","B2","1013","1681923561566000","1715978072068000"
"40507","053492640249973729566617964390555404229","4060741400049417778","UnderConsideration","Unspecified","4060741400007151467","1707330851135000","1715983456309000"
"40508","57870393658747582415483626153807546","7770000000000115522","Available","Unspecified","","1715955086012000","1715983501133000"
"40509","27306865285259591012572796780858391377399748563","4060741400007923328","Available","Unspecified","","1674669370905000","1715994365442000"
"40510","35198867512817775043704519835873112372021","4060741400392371944","UnderConsideration","Unspecified","4000741400001402403","1714116905300000","1715994979992000"
"40511","79069669292547154635362765658102383336","4060741400375569062","Proposed","Unspecified","1013","1709282316511000","1715995283050000"
